Generator,UtilityScore,FidelityScore,PrivacyScore,OverallScore,Rank
ForestDiffusion,0.8083197633590093,0.39140634373149946,0.7278536127483051,0.6591058922875451,1
TVAE,0.7225857442932668,0.4369514425480544,0.6381085499723104,0.6115522954734162,2
GaussianCopula,0.707817382549693,0.41496253397183097,0.6174178470050697,0.5928410673129474,3
CTABGAN,0.6745738927314869,0.47045740674803,0.5535278598271552,0.5770251370651504,4
WGAN_GP,0.6865080359098971,0.38624615159499487,0.4890166870054422,0.5371820659440899,5
CTGAN,0.5752429463321822,0.4423642345096218,0.5447614979786813,0.5262348982793639,6
CopulaGAN,0.5752665189913637,0.4248607943576116,0.5235240018422729,0.5146220464565108,7
,0.7292803652167789,0.22268086031319836,0.4898009247677089,0.5054566816109838,8
TabDDPM,0.5660577974011223,0.5438752294084245,0.3136765714659039,0.48368865922274745,9
