Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.0,3,8,6.062
GaussianCopula,3.3333333333333335,3,8,6.062
TVAE,3.3333333333333335,3,8,6.062
WGAN_GP,3.6666666666666665,3,8,6.062
TabDDPM,4.0,3,8,6.062
CTABGAN,6.333333333333333,3,8,6.062
CTGAN,7.0,3,8,6.062
CopulaGAN,7.333333333333333,3,8,6.062
