X,Y,Pearson_r,Pearson_p,Spearman_r,Spearman_p
Utility,Privacy,0.5199407089301935,0.15133910531372832,0.6,0.0876228290414024
Utility,Fidelity,0.42563282855959494,0.2533749337997244,0.38333333333333336,0.30849527238037144
Privacy,Fidelity,0.29313082917486755,0.44396204156928915,0.5666666666666667,0.11163298761149111
