Generator,Mean_CV,Std_CV,N_Metrics,StabilityRank,StabilityScore
ForestDiffusion,0.05393357742218254,0.05977904227678427,44,1.0,0.9488263980030898
WGAN_GP,0.09460678573887753,0.1178310467696547,60,2.0,0.9135700719459579
GaussianCopula,0.1242209692291715,0.17781699566162293,60,3.0,0.8895048459073447
CTABGAN,0.13298015423901352,0.23760542231482634,60,4.0,0.8826279933134998
TVAE,0.1439529734433456,0.2927617800736937,60,5.0,0.8741618084089233
CTGAN,0.1906597163306676,0.34577150041872917,60,6.0,0.8398705241173055
CopulaGAN,0.21542681195584973,0.40448536981027766,60,7.0,0.8227562451011036
TabDDPM,0.2346064473618872,0.3280287463034087,44,8.0,0.8099747106754583
