Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.0,3,8,6.062,1
GaussianCopula,3.3333333333333335,3,8,6.062,1
TVAE,3.3333333333333335,3,8,6.062,1
WGAN_GP,3.6666666666666665,3,8,6.062,1
TabDDPM,4.0,3,8,6.062,1
CTABGAN,6.333333333333333,3,8,6.062,1
CTGAN,7.0,3,8,6.062,1
CopulaGAN,7.333333333333333,3,8,6.062,1
