Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,3.1363636363636362,22,8,2.238541854950145,1
TVAE,3.5454545454545454,22,8,2.238541854950145,1
WGAN_GP,3.8181818181818183,22,8,2.238541854950145,1
GaussianCopula,3.909090909090909,22,8,2.238541854950145,1
CTABGAN,4.5,22,8,2.238541854950145,1
TabDDPM,4.954545454545454,22,8,2.238541854950145,1
CTGAN,5.954545454545454,22,8,2.238541854950145,1
CopulaGAN,6.181818181818182,22,8,2.238541854950145,1
