Dataset,Generator,Metric,Mean,Count,Std,CI_Low,CI_High,NormalizedScore
1. Cancer,GaussianCopula,JS_Divergence,0.037235294117647,1,0.0,0.037235294117647,0.037235294117647,0.037235294117647
1. Cancer,GaussianCopula,KS_Complement,0.93,1,0.0,0.93,0.93,0.93
1. Cancer,GaussianCopula,MMD,0.003901,1,0.0,0.003901,0.003901,0.003901
1. Cancer,GaussianCopula,MMD_Multivariate,0.001456,1,0.0,0.001456,0.001456,0.001456
1. Cancer,GaussianCopula,Outlier_Count_Diff,7.366667,1,0.0,7.366667,7.366667,7.366667
1. Cancer,GaussianCopula,PCA_Mean_Error,1.140859,1,0.0,1.140859,1.140859,1.140859
1. Cancer,GaussianCopula,PCA_Mean_Error_Pct,0.5704295,1,0.0,0.5704295,0.5704295,0.5704295
1. Cancer,GaussianCopula,Quality_Score,0.943748,1,0.0,0.943748,0.943748,0.943748
1. Cancer,GaussianCopula,Wasserstein_Distance,0.014806,1,0.0,0.014806,0.014806,0.014806
1. Cancer,TVAE,Cosine_Similarity,0.043196,1,0.0,0.043196,0.043196,0.043196
1. Cancer,TVAE,Gower_Distance,0.865425,1,0.0,0.865425,0.865425,0.865425
1. Cancer,TVAE,Gower_Similarity,0.865425,1,0.0,0.865425,0.865425,0.865425
1. Cancer,TVAE,JS_Divergence,0.0458095238095238,1,0.0,0.0458095238095238,0.0458095238095238,0.0458095238095238
1. Cancer,TVAE,KS_Complement,0.873,1,0.0,0.873,0.873,0.873
1. Cancer,TVAE,MMD,0.020162,1,0.0,0.020162,0.020162,0.020162
1. Cancer,TVAE,MMD_Multivariate,0.018341,1,0.0,0.018341,0.018341,0.018341
1. Cancer,TVAE,Outlier_Count_Diff,33.233333,1,0.0,33.233333,33.233333,33.233333
1. Cancer,TVAE,PCA_Mean_Error,9.333224,1,0.0,9.333224,9.333224,9.333224
1. Cancer,TVAE,PCA_Mean_Error_Pct,4.763045,1,0.0,4.763045,4.763045,4.763045
1. Cancer,TVAE,Quality_Score,0.896421,1,0.0,0.896421,0.896421,0.896421
1. Cancer,TVAE,Wasserstein_Distance,0.030417,1,0.0,0.030417,0.030417,0.030417
1. Cancer,TabDDPM,Cosine_Similarity,-0.05887,1,0.0,-0.05887,-0.05887,-0.05887
1. Cancer,TabDDPM,Gower_Distance,0.478821,1,0.0,0.478821,0.478821,0.478821
1. Cancer,TabDDPM,Gower_Similarity,0.478821,1,0.0,0.478821,0.478821,0.478821
1. Cancer,TabDDPM,JS_Divergence,0.6448333333333334,1,0.0,0.6448333333333334,0.6448333333333334,0.6448333333333334
1. Cancer,TabDDPM,KS_Complement,0.4014,1,0.0,0.4014,0.4014,0.4014
1. Cancer,TabDDPM,MMD,0.568095,1,0.0,0.568095,0.568095,0.568095
1. Cancer,TabDDPM,MMD_Multivariate,0.370326,1,0.0,0.370326,0.370326,0.370326
1. Cancer,TabDDPM,Outlier_Count_Diff,41.566667,1,0.0,41.566667,41.566667,41.566667
1. Cancer,TabDDPM,PCA_Correlation_Diff,0.711648,1,0.0,0.711648,0.711648,0.711648
1. Cancer,TabDDPM,PCA_Mean_Error,138.499025,1,0.0,138.499025,138.499025,138.499025
1. Cancer,TabDDPM,PCA_Mean_Error_Pct,69.7495125,1,0.0,69.7495125,69.7495125,69.7495125
1. Cancer,TabDDPM,Quality_Score,0.401382,1,0.0,0.401382,0.401382,0.401382
1. Cancer,TabDDPM,Wasserstein_Distance,0.424491,1,0.0,0.424491,0.424491,0.424491
1. Cancer,WGAN_GP,Cosine_Similarity,0.021422,1,0.0,0.021422,0.021422,0.021422
1. Cancer,WGAN_GP,Gower_Distance,0.87225,1,0.0,0.87225,0.87225,0.87225
1. Cancer,WGAN_GP,Gower_Similarity,0.87225,1,0.0,0.87225,0.87225,0.87225
1. Cancer,WGAN_GP,JS_Divergence,0.0238999999999999,1,0.0,0.0238999999999999,0.0238999999999999,0.0238999999999999
1. Cancer,WGAN_GP,KS_Complement,0.949,1,0.0,0.949,0.949,0.949
1. Cancer,WGAN_GP,MMD,0.001618,1,0.0,0.001618,0.001618,0.001618
1. Cancer,WGAN_GP,MMD_Multivariate,0.000164,1,0.0,0.000164,0.000164,0.000164
1. Cancer,WGAN_GP,Outlier_Count_Diff,12.6,1,0.0,12.6,12.6,12.6
1. Cancer,WGAN_GP,PCA_Correlation_Diff,0.153608,1,0.0,0.153608,0.153608,0.153608
1. Cancer,WGAN_GP,PCA_Mean_Error,1.608508,1,0.0,1.608508,1.608508,1.608508
1. Cancer,WGAN_GP,PCA_Mean_Error_Pct,0.804254,1,0.0,0.804254,0.804254,0.804254
1. Cancer,WGAN_GP,Quality_Score,0.949012,1,0.0,0.949012,0.949012,0.949012
1. Cancer,WGAN_GP,Wasserstein_Distance,0.010063,1,0.0,0.010063,0.010063,0.010063
10. Metro interstate,CTABGAN,Cosine_Similarity,0.000365,1,0.0,0.000365,0.000365,0.000365
10. Metro interstate,CTABGAN,Gower_Distance,0.575214,1,0.0,0.575214,0.575214,0.575214
10. Metro interstate,CTABGAN,Gower_Similarity,0.575214,1,0.0,0.575214,0.575214,0.575214
10. Metro interstate,CTABGAN,JS_Divergence,0.2352,1,0.0,0.2352,0.2352,0.2352
10. Metro interstate,CTABGAN,KS_Complement,0.7036,1,0.0,0.7036,0.7036,0.7036
10. Metro interstate,CTABGAN,MMD,0.010479,1,0.0,0.010479,0.010479,0.010479
10. Metro interstate,CTABGAN,MMD_Multivariate,0.009604,1,0.0,0.009604,0.009604,0.009604
10. Metro interstate,CTABGAN,Outlier_Count_Diff,3.777778,1,0.0,3.777778,3.777778,3.777778
10. Metro interstate,CTABGAN,PCA_Correlation_Diff,0.24458,1,0.0,0.24458,0.24458,0.24458
10. Metro interstate,CTABGAN,PCA_Mean_Error,10.002244,1,0.0,10.002244,10.002244,10.002244
10. Metro interstate,CTABGAN,PCA_Mean_Error_Pct,5.001122,1,0.0,5.001122,5.001122,5.001122
10. Metro interstate,CTABGAN,Quality_Score,0.8821898055036569,1,0.0,0.8821898055036569,0.8821898055036569,0.8821898055036569
10. Metro interstate,CTABGAN,Wasserstein_Distance,0.040253,1,0.0,0.040253,0.040253,0.040253
10. Metro interstate,CTGAN,Cosine_Similarity,0.016607,1,0.0,0.016607,0.016607,0.016607
10. Metro interstate,CTGAN,Gower_Distance,0.665849,1,0.0,0.665849,0.665849,0.665849
10. Metro interstate,CTGAN,Gower_Similarity,0.665849,1,0.0,0.665849,0.665849,0.665849
10. Metro interstate,CTGAN,JS_Divergence,0.2128571428571428,1,0.0,0.2128571428571428,0.2128571428571428,0.2128571428571428
10. Metro interstate,CTGAN,KS_Complement,0.8336,1,0.0,0.8336,0.8336,0.8336
10. Metro interstate,CTGAN,MMD,0.009663,1,0.0,0.009663,0.009663,0.009663
10. Metro interstate,CTGAN,MMD_Multivariate,0.010768,1,0.0,0.010768,0.010768,0.010768
10. Metro interstate,CTGAN,Outlier_Count_Diff,10.75,1,0.0,10.75,10.75,10.75
10. Metro interstate,CTGAN,PCA_Correlation_Diff,0.093407,1,0.0,0.093407,0.093407,0.093407
10. Metro interstate,CTGAN,PCA_Mean_Error,40.048378,1,0.0,40.048378,40.048378,40.048378
10. Metro interstate,CTGAN,PCA_Mean_Error_Pct,20.024189,1,0.0,20.024189,20.024189,20.024189
10. Metro interstate,CTGAN,Quality_Score,0.755272,1,0.0,0.755272,0.755272,0.755272
10. Metro interstate,CTGAN,Wasserstein_Distance,0.0303,1,0.0,0.0303,0.0303,0.0303
10. Metro interstate,CopulaGAN,Cosine_Similarity,0.006086,1,0.0,0.006086,0.006086,0.006086
10. Metro interstate,CopulaGAN,Gower_Distance,0.665781,1,0.0,0.665781,0.665781,0.665781
10. Metro interstate,CopulaGAN,Gower_Similarity,0.665781,1,0.0,0.665781,0.665781,0.665781
10. Metro interstate,CopulaGAN,JS_Divergence,0.2198,1,0.0,0.2198,0.2198,0.2198
10. Metro interstate,CopulaGAN,KS_Complement,0.7624,1,0.0,0.7624,0.7624,0.7624
10. Metro interstate,CopulaGAN,MMD,0.018567,1,0.0,0.018567,0.018567,0.018567
10. Metro interstate,CopulaGAN,MMD_Multivariate,0.0197,1,0.0,0.0197,0.0197,0.0197
