Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.375,8,8,3.712201705187906,1
TVAE,3.25,8,8,3.712201705187906,1
WGAN_GP,3.875,8,8,3.712201705187906,1
CTABGAN,4.125,8,8,3.712201705187906,1
CopulaGAN,4.5,8,8,3.712201705187906,1
GaussianCopula,5.5,8,8,3.712201705187906,1
CTGAN,6.0,8,8,3.712201705187906,1
TabDDPM,7.375,8,8,3.712201705187906,1
