Dataset,Generator,Metric,MetricValue,Source
9. MAGIC Gamma Telescope,TabDDPM,JS_Divergence,0.3245,plot_ocr
10. Metro interstate,TabDDPM,JS_Divergence,0.19474999999999998,plot_ocr
10. Metro interstate,ForestDiffusion,JS_Divergence,0.107,plot_ocr
11. online shopping,TabDDPM,JS_Divergence,0.3057142857142857,plot_ocr
11. online shopping,ForestDiffusion,JS_Divergence,0.11887500000000001,plot_ocr
12. Air Quality,TabDDPM,JS_Divergence,0.22528571428571428,plot_ocr
12. Air Quality,ForestDiffusion,JS_Divergence,0.197,plot_ocr
14. Energy Efficiency,TabDDPM,JS_Divergence,0.11533333333333333,plot_ocr
14. Energy Efficiency,ForestDiffusion,JS_Divergence,0.013500000000000002,plot_ocr
15. Real Estate Valuation,ForestDiffusion,JS_Divergence,0.007,plot_ocr
