Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.875,8,8,3.712201705187906
WGAN_GP,2.875,8,8,3.712201705187906
TVAE,3.875,8,8,3.712201705187906
CTABGAN,4.75,8,8,3.712201705187906
GaussianCopula,4.75,8,8,3.712201705187906
CTGAN,5.625,8,8,3.712201705187906
CopulaGAN,6.0,8,8,3.712201705187906
TabDDPM,6.25,8,8,3.712201705187906
