Dataset,Generator,RegressionModel,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
10. Metro interstate,CTABGAN,Lasso,RMSE,TSTR,2145.767506361705,0.0,2,2145.767506361705,2145.767506361705
10. Metro interstate,CTABGAN,Linear Regression,MAE,TRTR,1768.200304267411,2.273736754432321e-13,2,1768.2003042674107,1768.2003042674112
10. Metro interstate,CTABGAN,Linear Regression,MAE,TSTR,1933.058722057837,2.273736754432321e-13,2,1933.0587220578368,1933.0587220578373
10. Metro interstate,CTABGAN,Linear Regression,MSE,TRTR,4072730.592219864,4.656612873077393e-10,2,4072730.5922198636,4072730.5922198645
10. Metro interstate,CTABGAN,Linear Regression,MSE,TSTR,4604524.856585929,0.0,2,4604524.856585929,4604524.856585929
10. Metro interstate,CTABGAN,Linear Regression,R2,TRTR,0.02182671789900648,0.0,2,0.02182671789900648,0.02182671789900648
10. Metro interstate,CTABGAN,Linear Regression,R2,TSTR,-0.1058976501137343,0.0,2,-0.1058976501137343,-0.1058976501137343
10. Metro interstate,CTABGAN,Linear Regression,RMSE,TRTR,2018.100738868073,2.273736754432321e-13,2,2018.1007388680728,2018.1007388680732
10. Metro interstate,CTABGAN,Linear Regression,RMSE,TSTR,2145.815662303249,0.0,2,2145.815662303249,2145.815662303249
10. Metro interstate,CTABGAN,Random Forest,MAE,TRTR,1930.999919964286,13.20270044363371,2,1921.5552770242373,1940.4445629043346
10. Metro interstate,CTABGAN,Random Forest,MAE,TSTR,1912.728445,2.351175798451608,2,1911.046515155385,1914.410374844615
10. Metro interstate,CTABGAN,Random Forest,MSE,TRTR,5139450.179547728,52391.96224180777,2,5101971.22753977,5176929.131555686
10. Metro interstate,CTABGAN,Random Forest,MSE,TSTR,4535135.482050749,17310.98185150583,2,4522751.951633835,4547519.012467662
10. Metro interstate,CTABGAN,Random Forest,R2,TRTR,-0.2343740241317063,0.01258330658052369,2,-0.24337557939425244,-0.22537246886916015
10. Metro interstate,CTABGAN,Random Forest,R2,TSTR,-0.08923196828305469,0.00415768722007427,2,-0.09220619854887428,-0.08625773801723509
10. Metro interstate,CTABGAN,Random Forest,RMSE,TRTR,2267.006227835382,11.53006952796923,2,2258.758112972024,2275.2543426987404
10. Metro interstate,CTABGAN,Random Forest,RMSE,TSTR,2129.581875280852,4.064298960369907,2,2126.67445095155,2132.4892996101535
10. Metro interstate,CTABGAN,Ridge,MAE,TRTR,1766.217034481751,0.0,2,1766.217034481751,1766.217034481751
10. Metro interstate,CTABGAN,Ridge,MAE,TSTR,1941.103656502984,2.273736754432321e-13,2,1941.1036565029838,1941.1036565029842
10. Metro interstate,CTABGAN,Ridge,MSE,TRTR,3974046.168202341,0.0,2,3974046.168202341,3974046.168202341
10. Metro interstate,CTABGAN,Ridge,MSE,TSTR,4607046.859894268,0.0,2,4607046.859894268,4607046.859894268
10. Metro interstate,CTABGAN,Ridge,R2,TRTR,0.04552837572971813,0.0,2,0.04552837572971813,0.04552837572971813
10. Metro interstate,CTABGAN,Ridge,R2,TSTR,-0.1065033754858717,0.0,2,-0.1065033754858717,-0.1065033754858717
10. Metro interstate,CTABGAN,Ridge,RMSE,TRTR,1993.500982744262,2.273736754432321e-13,2,1993.5009827442618,1993.5009827442623
10. Metro interstate,CTABGAN,Ridge,RMSE,TSTR,2146.403237952801,0.0,2,2146.403237952801,2146.403237952801
10. Metro interstate,CTABGAN,SVR_RBF,MAE,TRTR,1880.780361142787,2.273736754432321e-13,2,1880.7803611427867,1880.7803611427871
10. Metro interstate,CTABGAN,SVR_RBF,MAE,TSTR,1882.181059123649,2.273736754432321e-13,2,1882.1810591236488,1882.1810591236492
10. Metro interstate,CTABGAN,SVR_RBF,MSE,TRTR,4346479.043141305,0.0,2,4346479.043141305,4346479.043141305
10. Metro interstate,CTABGAN,SVR_RBF,MSE,TSTR,4354570.243657472,0.0,2,4354570.243657472,4354570.243657472
10. Metro interstate,CTABGAN,SVR_RBF,R2,TRTR,-0.04392116663315893,0.0,2,-0.04392116663315893,-0.04392116663315893
10. Metro interstate,CTABGAN,SVR_RBF,R2,TSTR,-0.04586448107191776,0.0,2,-0.04586448107191776,-0.04586448107191776
10. Metro interstate,CTABGAN,SVR_RBF,RMSE,TRTR,2084.821105788529,4.547473508864641e-13,2,2084.8211057885287,2084.8211057885296
10. Metro interstate,CTABGAN,SVR_RBF,RMSE,TSTR,2086.760705892621,0.0,2,2086.760705892621,2086.760705892621
10. Metro interstate,CTGAN,Decision Tree,MAE,TRTR,2310.0295,15.72897778782836,2,2298.7776671153397,2321.2813328846605
10. Metro interstate,CTGAN,Decision Tree,MAE,TSTR,2521.6655,66.28238085833968,2,2474.2499411076374,2569.0810588923628
10. Metro interstate,CTGAN,Decision Tree,MSE,TRTR,8208006.922500001,59934.21790229055,2,8165132.565818587,8250881.279181415
10. Metro interstate,CTGAN,Decision Tree,MSE,TSTR,9788405.1055,348807.0007713088,2,9538883.608641164,10037926.602358835
10. Metro interstate,CTGAN,Decision Tree,R2,TRTR,-0.9713685668840988,0.01439477748605155,2,-0.9816659703689112,-0.9610711633992863
10. Metro interstate,CTGAN,Decision Tree,R2,TSTR,-1.350942723015294,0.08377516779922962,2,-1.4108718678508048,-1.2910135781797831
10. Metro interstate,CTGAN,Decision Tree,RMSE,TRTR,2864.942789556814,10.47545065489349,2,2857.449103587496,2872.436475526132
10. Metro interstate,CTGAN,Decision Tree,RMSE,TSTR,3128.149162634949,55.56907238980117,2,3088.3974429415384,3167.9008823283593
10. Metro interstate,CTGAN,ElasticNet,MAE,TRTR,1758.370734499451,2.273736754432321e-13,2,1758.3707344994507,1758.3707344994511
10. Metro interstate,CTGAN,ElasticNet,MAE,TSTR,1888.474417775702,2.273736754432321e-13,2,1888.4744177757018,1888.4744177757022
10. Metro interstate,CTGAN,ElasticNet,MSE,TRTR,3965376.037678151,4.656612873077393e-10,2,3965376.0376781505,3965376.0376781514
10. Metro interstate,CTGAN,ElasticNet,MSE,TSTR,4354537.078109124,0.0,2,4354537.078109124,4354537.078109124
10. Metro interstate,CTGAN,ElasticNet,R2,TRTR,0.04761073542404515,0.0,2,0.04761073542404515,0.04761073542404515
10. Metro interstate,CTGAN,ElasticNet,R2,TSTR,-0.04585651549389924,0.0,2,-0.04585651549389924,-0.04585651549389924
10. Metro interstate,CTGAN,ElasticNet,RMSE,TRTR,1991.325196365011,2.273736754432321e-13,2,1991.3251963650107,1991.3251963650112
10. Metro interstate,CTGAN,ElasticNet,RMSE,TSTR,2086.752759219243,0.0,2,2086.752759219243,2086.752759219243
10. Metro interstate,CTGAN,Extra Trees,MAE,TRTR,2061.444175,5.576672910089378,2,2057.4548635213296,2065.4334864786706
10. Metro interstate,CTGAN,Extra Trees,MAE,TSTR,1971.507545,20.00436459025189,2,1957.1972846404547,1985.8178053595452
10. Metro interstate,CTGAN,Extra Trees,MSE,TRTR,6416983.235944,30384.24166944314,2,6395247.658832545,6438718.813055455
10. Metro interstate,CTGAN,Extra Trees,MSE,TSTR,5023708.51783015,183260.4018881496,2,4892611.923745263,5154805.111915037
10. Metro interstate,CTGAN,Extra Trees,R2,TRTR,-0.5412071608864082,0.007297574127472355,2,-0.5464275309354574,-0.535986790837359
10. Metro interstate,CTGAN,Extra Trees,R2,TSTR,-0.2065756224072267,0.04401480155267806,2,-0.23806191466364127,-0.17508933015081216
10. Metro interstate,CTGAN,Extra Trees,RMSE,TRTR,2533.169405018528,6.000118505373926,2,2528.8771788089603,2537.4616312280955
10. Metro interstate,CTGAN,Extra Trees,RMSE,TSTR,2240.994857937992,40.62714025906613,2,2211.931952583112,2270.057763292872
