Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.875,8,8,3.712201705187906,1
WGAN_GP,2.875,8,8,3.712201705187906,1
TVAE,3.875,8,8,3.712201705187906,1
CTABGAN,4.75,8,8,3.712201705187906,1
GaussianCopula,4.75,8,8,3.712201705187906,1
CTGAN,5.625,8,8,3.712201705187906,1
CopulaGAN,6.0,8,8,3.712201705187906,1
TabDDPM,6.25,8,8,3.712201705187906,1
