Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
TVAE,1.875,4,8,5.249845997741267,1
CTGAN,2.125,4,8,5.249845997741267,1
CopulaGAN,2.375,4,8,5.249845997741267,1
GaussianCopula,3.625,4,8,5.249845997741267,1
ForestDiffusion,5.125,4,8,5.249845997741267,1
CTABGAN,6.625,4,8,5.249845997741267,1
WGAN_GP,6.875,4,8,5.249845997741267,1
TabDDPM,7.375,4,8,5.249845997741267,1
