Dataset,Generator,Metric,Mean_CV,Std_CV,N
12. Air Quality,GaussianCopula,RMSE,0.07433823232544579,0.0204753451868601,20
12. Air Quality,TVAE,MAE,0.27225029496570163,0.18813626354579946,20
12. Air Quality,TVAE,MSE,0.850510541671262,0.7250909486625945,20
12. Air Quality,TVAE,R2,2.024121139013429,2.261167441193727,20
12. Air Quality,TVAE,RMSE,0.4651904138544756,0.4149250536551465,20
12. Air Quality,WGAN_GP,MAE,0.10154864144474532,0.014935383424752112,20
12. Air Quality,WGAN_GP,MSE,0.15965522251145747,0.029070364318550704,20
12. Air Quality,WGAN_GP,R2,0.11520902796932757,0.019064590987546703,20
12. Air Quality,WGAN_GP,RMSE,0.0795544072961618,0.01592007791293482,20
13. Concrete Compressive Strength,CTABGAN,MAE,0.12392041184587115,0.031345062731081015,20
13. Concrete Compressive Strength,CTABGAN,MSE,0.19616946382501818,0.06270970341197868,20
13. Concrete Compressive Strength,CTABGAN,R2,1.456590633752722,1.22001546106309,20
13. Concrete Compressive Strength,CTABGAN,RMSE,0.10184410124418253,0.02998915893410115,20
13. Concrete Compressive Strength,CTGAN,MAE,0.12004765558125423,0.029776053767697885,20
13. Concrete Compressive Strength,CTGAN,MSE,0.18262336191595543,0.06675532428075155,20
13. Concrete Compressive Strength,CTGAN,R2,0.6589557639009697,0.20172770062869666,20
13. Concrete Compressive Strength,CTGAN,RMSE,0.09432511546969778,0.03371044487343304,20
13. Concrete Compressive Strength,CopulaGAN,MAE,0.1029124067135134,0.011075689019155925,20
13. Concrete Compressive Strength,CopulaGAN,MSE,0.20630283069577446,0.02383108420602552,20
13. Concrete Compressive Strength,CopulaGAN,R2,0.2949022148329031,0.08832058184335075,20
13. Concrete Compressive Strength,CopulaGAN,RMSE,0.10415054205174071,0.012110088290840633,20
13. Concrete Compressive Strength,ForestDiffusion,MAE,0.04862004830243301,0.01907503227515985,20
13. Concrete Compressive Strength,ForestDiffusion,MSE,0.10730262381313775,0.04172945436821786,20
13. Concrete Compressive Strength,ForestDiffusion,R2,0.04913074687080178,0.02345987958367322,20
13. Concrete Compressive Strength,ForestDiffusion,RMSE,0.054042927544060385,0.02095980056415692,20
13. Concrete Compressive Strength,GaussianCopula,MAE,0.14297964444298217,0.017271443346162027,20
13. Concrete Compressive Strength,GaussianCopula,MSE,0.26527064035182796,0.03352348895603903,20
