Generator,CompositeScore,CompositeRank,UtilityComponent,PrivacyComponent,FidelityComponent,Weights
ForestDiffusion,0.6724800796722785,1.0,0.30633857729467423,0.20656680627224241,0.15957469610536185,40%/30%/30%
TVAE,0.6398276580752651,2.0,0.2764577975335653,0.1534520894838541,0.20991777105784562,40%/30%/30%
WGAN_GP,0.6118034694276697,3.0,0.26123191952552266,0.20143077016182506,0.14914077974032203,40%/30%/30%
GaussianCopula,0.6097762348869984,4.0,0.2909938942945817,0.13980236443144103,0.17897997616097558,40%/30%/30%
CTABGAN,0.5932967169523686,5.0,0.24471465946539273,0.18780968467401685,0.16077237281295909,40%/30%/30%
TabDDPM,0.547206965318775,6.0,0.21777377880581478,0.17893577106887623,0.15049741544408393,40%/30%/30%
CTGAN,0.42931849627786717,7.0,0.18818951540983117,0.13492494694396837,0.10620403392406765,40%/30%/30%
CopulaGAN,0.4098895856093007,8.0,0.1814555882015314,0.13400379423357037,0.09443020317419897,40%/30%/30%
