Generator,Utility,Privacy,Fidelity,Dominated
CTABGAN,0.6499184528398686,0.8088521919338143,0.9020618139319979,False
CTGAN,0.5658288912714498,0.7965956887106778,0.7955848220204574,True
CopulaGAN,0.546749250238183,0.7941261971375492,0.7832579180367749,True
ForestDiffusion,0.9911392570340135,0.8182291860162108,0.8506983267798147,False
GaussianCopula,0.6332682328897479,0.8229883476259781,0.8517002643843246,False
TVAE,0.6512823280814155,0.8219228990685505,0.8739331129526172,False
TabDDPM,0.7584724580412723,0.8163736089519679,0.7990550656752502,True
WGAN_GP,0.5122581073933788,0.8088330396134422,0.5799142888585047,True
,0.6636146222236662,0.8109901448822738,0.7033347400286077,True
