Dataset,Generator,Retention,Utility,Privacy,Fidelity,Metric
1. Cancer,CTABGAN,0.9177895994695581,0.8689384010484927,0.5503515675871391,0.49536575912313346,Accuracy
1. Cancer,CTGAN,0.7483892827347572,0.5977865152177079,0.5503515675871391,0.19476205713873615,Accuracy
1. Cancer,CopulaGAN,0.3744451680181854,0.0,0.5503515675871391,0.0,Accuracy
1. Cancer,ForestDiffusion,1.0001973192414613,1.0,0.5503515675871391,0.49536575912313346,Accuracy
1. Cancer,GaussianCopula,0.894741965209443,0.8319499053444006,0.5503515675871391,1.0,Accuracy
1. Cancer,TVAE,0.963447445506141,0.9414591524683267,0.5503515675871391,0.7867009793537977,Accuracy
1. Cancer,TabDDPM,0.5299392520128928,0.24945391000436878,0.5503515675871391,0.49536575912313346,Accuracy
1. Cancer,WGAN_GP,0.9769820466077961,0.9630115042959079,0.5503515675871391,0.49536575912313346,Accuracy
2. Alzhimers,CTABGAN,0.8906646519379595,0.730659930533628,0.5503515675871391,0.502547622219262,Accuracy
2. Alzhimers,CTGAN,0.5938751556834516,0.06567729712661811,0.5503515675871391,0.31202877314506466,Accuracy
2. Alzhimers,CopulaGAN,0.5756224680752589,0.02526049889485302,0.5503515675871391,0.0,Accuracy
2. Alzhimers,ForestDiffusion,1.0125728537230152,1.0,0.5503515675871391,0.502547622219262,Accuracy
2. Alzhimers,GaussianCopula,0.8735612549846282,0.6921376697189769,0.5503515675871391,1.0,Accuracy
2. Alzhimers,TVAE,0.925042176699461,0.8048626460372594,0.5503515675871391,0.698161715731983,Accuracy
2. Alzhimers,TabDDPM,0.5643898647790311,0.0,0.5503515675871391,0.502547622219262,Accuracy
2. Alzhimers,WGAN_GP,0.933709568583809,0.8238080202083994,0.5503515675871391,0.502547622219262,Accuracy
3. Adult,CTABGAN,0.7143686806324582,0.6384157880508248,0.9965461586027051,0.6660795083627843,Accuracy
3. Adult,CTGAN,0.8323028541534787,0.9038929440389292,0.002765195983491342,0.7363190239290444,Accuracy
3. Adult,CopulaGAN,0.8061614672117463,0.8463098134630983,0.003006135412653488,0.9279990095220928,Accuracy
3. Adult,ForestDiffusion,0.8772551643278292,1.0,1.0,0.6660795083627843,Accuracy
3. Adult,GaussianCopula,0.8075162302078371,0.8492835901595026,0.0,0.0,Accuracy
3. Adult,TVAE,0.8161027036883443,0.8648283319816166,0.0030247154091349593,1.0,Accuracy
3. Adult,TabDDPM,0.5682862695685961,0.3107596647742633,0.9929123196006295,0.6660795083627843,Accuracy
3. Adult,WGAN_GP,0.42780898600391604,0.0,0.9962808030969613,0.6660795083627843,Accuracy
4. Forest cover dataset,CTABGAN,0.5148077475997063,0.6125083166999334,0.5,0.3690827348381215,Accuracy
4. Forest cover dataset,CTGAN,0.21726457796674964,0.11217564870259478,0.5,0.10114569083447379,Accuracy
