Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
TVAE,1.875,4,8,5.249845997741267
CTGAN,2.125,4,8,5.249845997741267
CopulaGAN,2.375,4,8,5.249845997741267
GaussianCopula,3.625,4,8,5.249845997741267
ForestDiffusion,5.125,4,8,5.249845997741267
CTABGAN,6.625,4,8,5.249845997741267
WGAN_GP,6.875,4,8,5.249845997741267
TabDDPM,7.375,4,8,5.249845997741267
