Metric,Generator_A,Generator_B,Cohens_d,Cliffs_Delta
Precision,TVAE,WGAN_GP,-0.23892852016980648,-0.09375
Precision,TabDDPM,WGAN_GP,-1.1551596051582647,-0.625
Recall,CTABGAN,CTGAN,0.3737562884927108,0.28125
Recall,CTABGAN,CopulaGAN,0.3535404410265326,0.15625
Recall,CTABGAN,ForestDiffusion,-0.2763128985544188,-0.1875
Recall,CTABGAN,GaussianCopula,0.15076651839651808,0.03125
Recall,CTABGAN,TVAE,-0.06422916764150957,-0.0625
Recall,CTABGAN,TabDDPM,0.7186880690154983,0.3125
Recall,CTABGAN,WGAN_GP,0.19455366861143747,0.0625
Recall,CTGAN,CopulaGAN,-0.04547950824094242,-0.03125
Recall,CTGAN,ForestDiffusion,-0.6257309077327019,-0.5
Recall,CTGAN,GaussianCopula,-0.1973162660113877,-0.1875
Recall,CTGAN,TVAE,-0.43658992240284594,-0.25
Recall,CTGAN,TabDDPM,0.33245164330279525,0.1875
Recall,CTGAN,WGAN_GP,-0.1635060762005955,-0.15625
Recall,CopulaGAN,ForestDiffusion,-0.6255420439388615,-0.40625
Recall,CopulaGAN,GaussianCopula,-0.16548732713306996,-0.28125
Recall,CopulaGAN,TVAE,-0.4215921325075927,-0.28125
Recall,CopulaGAN,TabDDPM,0.3970331650500089,0.09375
Recall,CopulaGAN,WGAN_GP,-0.12903947972733612,-0.21875
Recall,ForestDiffusion,GaussianCopula,0.39548067054358577,0.34375
Recall,ForestDiffusion,TVAE,0.21602818032935345,0.09375
Recall,ForestDiffusion,TabDDPM,0.9622608519307739,0.5
Recall,ForestDiffusion,WGAN_GP,0.4446509376984103,0.34375
Recall,GaussianCopula,TVAE,-0.20916473024644475,-0.09375
Recall,GaussianCopula,TabDDPM,0.5166924789916854,0.375
Recall,GaussianCopula,WGAN_GP,0.036597399058637285,-0.03125
Recall,TVAE,TabDDPM,0.7829948402380553,0.4375
Recall,TVAE,WGAN_GP,0.25480802014934567,0.125
Recall,TabDDPM,WGAN_GP,-0.48936942233455805,-0.25
