Dataset,Generator,Classifier,Metric,EvaluationType,Mean,Std,Count,CI_Low,CI_High
1. Cancer,CopulaGAN,Decision Tree,Accuracy,TRTR,0.9350877192982457,0.02045948033279054,2,0.9204518887492514,0.9497235498472401
1. Cancer,CopulaGAN,Decision Tree,Accuracy,TSTR,0.4885964912280701,0.1217403551246111,2,0.4015086874522065,0.5756842950039336
1. Cancer,CopulaGAN,Decision Tree,F1,TRTR,0.9122461606275634,0.02771502846045041,2,0.8924200236187168,0.93207229763641
1. Cancer,CopulaGAN,Decision Tree,F1,TSTR,0.4336614094883392,0.1278834023662402,2,0.34217913444436365,0.5251436845323147
1. Cancer,CopulaGAN,Decision Tree,Precision,TRTR,0.9096981560397401,0.03732307542896939,2,0.8829988362789032,0.9363974758005771
1. Cancer,CopulaGAN,Decision Tree,Precision,TSTR,0.3755289426952128,0.113279749606878,2,0.2944934915053027,0.45656439388512293
1. Cancer,CopulaGAN,Decision Tree,Recall,TRTR,0.9166666666666666,0.04158154570612613,2,0.8869210207841195,0.9464123125492138
1. Cancer,CopulaGAN,Decision Tree,Recall,TSTR,0.5428571428571429,0.1942483624225823,2,0.4039002353212227,0.6818140503930632
1. Cancer,CopulaGAN,Extra Trees,Accuracy,TRTR,0.9701754385964912,0.01189882453179872,2,0.9616635322945255,0.978687344898457
1. Cancer,CopulaGAN,Extra Trees,Accuracy,TSTR,0.3473684210526316,0.06254576656131891,2,0.30262587500265753,0.3921109671026057
1. Cancer,CopulaGAN,Extra Trees,F1,TRTR,0.9589899381997989,0.01652286372603384,2,0.9471701935266764,0.9708096828729215
1. Cancer,CopulaGAN,Extra Trees,F1,TSTR,0.3942774400600938,0.06988236591030123,2,0.34428660699935565,0.44426827312083195
1. Cancer,CopulaGAN,Extra Trees,Precision,TRTR,0.971542217000243,0.02506278422086412,2,0.9536133812245523,0.9894710527759337
1. Cancer,CopulaGAN,Extra Trees,Precision,TSTR,0.299012460924504,0.04786760332872306,2,0.2647700403101915,0.3332548815388165
1. Cancer,CopulaGAN,Extra Trees,Recall,TRTR,0.9476190476190476,0.02776643759450141,2,0.9277561347311267,0.9674819605069684
1. Cancer,CopulaGAN,Extra Trees,Recall,TSTR,0.5833333333333333,0.130083698853788,2,0.4902770610017685,0.676389605664898
1. Cancer,CopulaGAN,Gradient Boosting,Accuracy,TRTR,0.9631578947368421,0.0203084857943688,2,0.9486300791736743,0.97768571030001
1. Cancer,CopulaGAN,Gradient Boosting,Accuracy,TSTR,0.3894736842105263,0.0709605207584445,2,0.33871158563344406,0.44023578278760855
1. Cancer,CopulaGAN,Gradient Boosting,F1,TRTR,0.9494212600983015,0.02779434087071402,2,0.9295383864090423,0.9693041337875608
1. Cancer,CopulaGAN,Gradient Boosting,F1,TSTR,0.3896629562003324,0.08159356725323165,2,0.3312944343815091,0.44803147801915577
1. Cancer,CopulaGAN,Gradient Boosting,Precision,TRTR,0.9620305430373497,0.0358379580625646,2,0.9363936122407736,0.9876674738339258
1. Cancer,CopulaGAN,Gradient Boosting,Precision,TSTR,0.3082748940337974,0.05739376069790951,2,0.2672178709579056,0.34933191710968914
1. Cancer,CopulaGAN,Gradient Boosting,Recall,TRTR,0.938095238095238,0.03400680204068023,2,0.913768237404859,0.962422238785617
1. Cancer,CopulaGAN,Gradient Boosting,Recall,TSTR,0.5404761904761904,0.150979417737978,2,0.43247202133522944,0.6484803596171514
1. Cancer,CopulaGAN,KNN,Accuracy,TRTR,0.962280701754386,0.01883413206454726,2,0.9488075753137156,0.9757538281950563
1. Cancer,CopulaGAN,KNN,Accuracy,TSTR,0.343859649122807,0.04974542764476429,2,0.30827391391578157,0.3794453843298324
1. Cancer,CopulaGAN,KNN,F1,TRTR,0.947074373024434,0.02672761688789936,2,0.9279545877030646,0.9661941583458034
1. Cancer,CopulaGAN,KNN,F1,TSTR,0.4727259627656144,0.04407537185753434,2,0.44119634112332307,0.5042555844079057
1. Cancer,CopulaGAN,KNN,Precision,TRTR,0.9751404010156286,0.02459125532957641,2,0.9575488766886936,0.9927319253425636
1. Cancer,CopulaGAN,KNN,Precision,TSTR,0.3356790936398785,0.03023147027119576,2,0.31405280260319746,0.3573053846765596
1. Cancer,CopulaGAN,KNN,Recall,TRTR,0.9214285714285715,0.03991203479581002,2,0.8928772217053419,0.9499799211518011
1. Cancer,CopulaGAN,KNN,Recall,TSTR,0.8,0.08597842897746566,2,0.738494737064942,0.8615052629350581
1. Cancer,CopulaGAN,Logistic Regression,Accuracy,TRTR,0.9789473684210526,0.009768007654087744,2,0.971959756687954,0.9859349801541512
1. Cancer,CopulaGAN,Logistic Regression,Accuracy,TSTR,0.2631578947368421,0.03088915238887546,2,0.2410611262553338,0.28525466321835036
1. Cancer,CopulaGAN,Logistic Regression,F1,TRTR,0.9707868770215718,0.0137941861874265,2,0.9609191106699073,0.9806546433732364
1. Cancer,CopulaGAN,Logistic Regression,F1,TSTR,0.3985670877139814,0.04376900515437522,2,0.36725662760855987,0.42987754781940296
1. Cancer,CopulaGAN,Logistic Regression,Precision,TRTR,0.9901768962744573,0.01203823054760635,2,0.9815652649163472,0.9987885276325673
