,ForestDiffusion,WGAN-GP,TVAE,CTABGAN,CTGAN,GaussianCopula,CopulaGAN,TabDDPM
ForestDiffusion,1.0,0.3828125,0.1640625,0.109375,0.109375,0.109375,0.109375,0.109375
WGAN-GP,0.3828125,1.0,1.0,0.33203125,0.65625,0.33203125,0.2109375,0.109375
TVAE,0.1640625,1.0,1.0,1.0,0.9765625,0.65625,0.1640625,0.1640625
CTABGAN,0.109375,0.33203125,1.0,1.0,1.0,1.0,0.33203125,0.109375
CTGAN,0.109375,0.65625,0.9765625,1.0,1.0,1.0,1.0,0.5078125
GaussianCopula,0.109375,0.33203125,0.65625,1.0,1.0,1.0,1.0,1.0
CopulaGAN,0.109375,0.2109375,0.1640625,0.33203125,1.0,1.0,1.0,1.0
TabDDPM,0.109375,0.109375,0.1640625,0.109375,0.5078125,1.0,1.0,1.0
