DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Cancer,0.114857,0.250756,0.532819,0.000287,0.153587,0.043345,0.663684,0.034613
Alzheimer's,0.102329,0.35532,0.494617,-0.011688,0.109429,0.060864,0.564317,0.080992
Adult,0.238313,0.168086,0.173339,0.070769,0.184346,0.153468,0.371514,0.500403
Forest Cover,0.289551,0.446885,0.49637,-0.061691,0.187001,0.255781,0.248742,0.233687
Bank Marketing,0.021934,0.032226,0.008741,-0.005025,0.034592,0.028102,0.038716,0.034127
Wine Quality,0.133888,0.219568,0.171771,-0.091503,0.133337,0.036342,0.141956,0.054127
CDC Diabetes,-0.061448,0.110026,-0.076803,0.017159,0.183897,-0.062311,0.043847,0.047764
Mushroom,0.181278,0.271565,0.168226,0.08494,0.20667,0.199914,0.384021,0.130843
MAGIC Gamma,0.031733,0.092871,0.07758,0.015989,0.063688,0.078088,0.161138,0.029264
