DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Cancer,0.07377,0.374961,0.647487,-0.006621,0.067085,0.082329,0.67088,-0.006913
Alzheimer's,0.105526,0.414292,0.397164,-0.016378,0.166072,0.125096,0.37066,-0.028881
Adult,0.182648,0.185184,0.174623,0.007103,0.204953,0.148753,0.198149,0.041457
Forest Cover,0.261563,0.193484,0.31401,-0.065031,0.198489,0.244165,0.266226,0.248146
Bank Marketing,0.00476,0.027637,0.014222,-0.005855,0.052738,0.026457,0.071224,0.05667
Wine Quality,0.142385,0.152944,0.148419,-0.095197,0.152659,0.022494,0.155165,0.054214
CDC Diabetes,0.092488,0.075022,0.130385,0.003923,0.255751,0.102588,0.101392,0.033847
Mushroom,0.293207,0.264974,0.294809,0.084741,0.255173,0.2166,0.348073,0.181303
MAGIC Gamma,0.04715,0.03976,0.059033,0.008966,0.099099,0.006352,0.188661,0.016812
