DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Cancer,0.146905,0.066429,0.30881,0.006429,0.213571,0.000952,0.535476,0.069524
Alzheimer's,0.091081,0.286757,0.544324,-0.006216,0.048919,-0.009459,0.608378,0.158108
Adult,0.2341,0.1359,0.1572,0.1004,0.1561,0.15035,0.35535,0.47025
Forest Cover,0.30745,0.49545,0.5376,-0.05545,0.16185,0.2464,0.218,0.2218
Bank Marketing,0.02519,0.043595,0.018595,-0.002295,0.02101,0.02794,0.01753,0.01101
Wine Quality,0.08305,0.2384,0.1996,-0.078667,0.0894,0.00115,0.101556,0.06805
CDC Diabetes,-0.086733,0.086154,-0.127517,0.0254,0.13977,-0.093218,0.02165,0.026171
Mushroom,0.030808,0.284704,-0.002443,0.084032,0.164687,0.192917,0.358774,0.084987
MAGIC Gamma,0.01208,0.148082,0.098394,0.023779,0.015588,0.149672,0.094862,0.043167
