Generator,Cancer,Alzheimer's,Adult,Forest Cover,Bank Marketing,Wine Quality,CDC Diabetes,Mushroom,MAGIC Gamma,Mean,Median
ForestDiffusion,0.0003,-0.0117,0.0708,-0.0617,-0.005,-0.0915,0.0172,0.0849,0.016,0.0021,0.0012
TVAE,0.0433,0.0609,0.1535,0.2558,0.0281,0.0363,-0.0623,0.1999,0.0781,0.0882,0.0695
CTABGAN,0.1149,0.1023,0.2383,0.2896,0.0219,0.1339,-0.0614,0.1813,0.0317,0.1169,0.1159
WGAN-GP,0.0346,0.081,0.5004,0.2337,0.0341,0.0541,0.0478,0.1308,0.0293,0.1273,0.0676
GaussianCopula,0.1536,0.1094,0.1843,0.187,0.0346,0.1333,0.1839,0.2067,0.0637,0.1396,0.1466
CTGAN,0.2508,0.3553,0.1681,0.4469,0.0322,0.2196,0.11,0.2716,0.0929,0.2164,0.218
CopulaGAN,0.5328,0.4946,0.1733,0.4964,0.0087,0.1718,-0.0768,0.1682,0.0776,0.2274,0.1726
TabDDPM,0.6637,0.5643,0.3715,0.2487,0.0387,0.142,0.0438,0.384,0.1611,0.2909,0.2698
