,ForestDiffusion,WGAN-GP,TVAE,CTABGAN,CTGAN,GaussianCopula,CopulaGAN,TabDDPM
ForestDiffusion,1.0,0.8806785654552001,0.5338373074420204,0.15642518383877346,0.023776690079980733,0.00623501691790973,0.0013738995831361622,9.38403742611893e-06
WGAN-GP,0.8806785654552001,1.0,0.9991346443675294,0.9164563040689873,0.5338373074420206,0.28822774909592197,0.12416849024311871,0.004340257284988547
TVAE,0.5338373074420204,0.9991346443675294,1.0,0.9976628390369632,0.8806785654552002,0.6661463221588553,0.4037608445736258,0.032289048144192756
CTABGAN,0.15642518383877346,0.9164563040689873,0.9976628390369632,1.0,0.9976628390369632,0.9651259809718014,0.8370127106198055,0.194431480348923
CTGAN,0.023776690079980733,0.5338373074420206,0.8806785654552002,0.9976628390369632,1.0,0.9999421542682614,0.9946029241564981,0.6006251102335034
GaussianCopula,0.00623501691790973,0.28822774909592197,0.6661463221588553,0.9651259809718014,0.9999421542682614,1.0,0.9999421542682614,0.8370127106198055
CopulaGAN,0.0013738995831361622,0.12416849024311871,0.4037608445736258,0.8370127106198055,0.9946029241564981,0.9999421542682614,1.0,0.9651259809718014
TabDDPM,9.38403742611893e-06,0.004340257284988547,0.032289048144192756,0.194431480348923,0.6006251102335034,0.8370127106198055,0.9651259809718014,1.0
