,ForestDiffusion,TVAE,WGAN-GP,CTABGAN,CopulaGAN,GaussianCopula,CTGAN,TabDDPM
ForestDiffusion,1.0,0.703125,0.109375,0.4296875,0.51953125,0.109375,0.109375,0.109375
TVAE,0.703125,1.0,1.0,1.0,1.0,1.0,0.109375,0.1796875
WGAN-GP,0.109375,1.0,1.0,1.0,1.0,1.0,1.0,0.875
CTABGAN,0.4296875,1.0,1.0,1.0,1.0,1.0,0.4296875,0.4296875
CopulaGAN,0.51953125,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GaussianCopula,0.109375,1.0,1.0,1.0,1.0,1.0,1.0,0.703125
CTGAN,0.109375,0.109375,1.0,0.4296875,1.0,1.0,1.0,1.0
TabDDPM,0.109375,0.1796875,0.875,0.4296875,1.0,0.703125,1.0,1.0
