,ForestDiffusion,TVAE,CTABGAN,WGAN-GP,GaussianCopula,CopulaGAN,CTGAN,TabDDPM
ForestDiffusion,1.0,0.8370127106198055,0.785948700844209,0.4037608445736258,0.017305581809114567,0.008860192636935715,0.00623501691790973,6.586052825241495e-05
TVAE,0.8370127106198055,1.0,0.9999999960951349,0.9976628390369632,0.5338373074420204,0.40376084457362615,0.34359272781772476,0.023776690079980733
CTABGAN,0.785948700844209,0.9999999960951349,1.0,0.9991346443675294,0.600625110233503,0.4676498726484175,0.4037608445736258,0.032289048144192756
WGAN-GP,0.4037608445736258,0.9976628390369632,0.9991346443675294,1.0,0.9164563040689869,0.8370127106198056,0.785948700844209,0.15642518383877346
GaussianCopula,0.017305581809114567,0.5338373074420204,0.600625110233503,0.9164563040689869,1.0,0.9999995101840434,0.9999919077551657,0.8806785654552003
CopulaGAN,0.008860192636935715,0.40376084457362615,0.4676498726484175,0.8370127106198056,0.9999995101840434,1.0,0.9999999960951349,0.944412839171484
CTGAN,0.00623501691790973,0.34359272781772476,0.4037608445736258,0.785948700844209,0.9999919077551657,0.9999999960951349,1.0,0.9651259809718014
TabDDPM,6.586052825241495e-05,0.023776690079980733,0.032289048144192756,0.15642518383877346,0.8806785654552003,0.944412839171484,0.9651259809718014,1.0
