Generator,Average Rank,Median Rank,Std Dev Rank
ForestDiffusion,1.3333333333333333,1.0,1.0
TVAE,3.4444444444444446,3.0,1.5898986690282426
WGAN-GP,3.888888888888889,3.0,2.204792759220492
CTABGAN,4.222222222222222,4.0,1.2018504251546631
CopulaGAN,4.888888888888889,5.0,2.5221243250702594
GaussianCopula,5.111111111111111,5.0,1.7638342073763935
CTGAN,6.222222222222222,7.0,1.481365736219265
TabDDPM,6.888888888888889,8.0,1.536590742882148
