,ForestDiffusion,TVAE,CTABGAN,GaussianCopula,WGAN-GP,CopulaGAN,TabDDPM,CTGAN
ForestDiffusion,1.0,0.7859487008442086,0.6661463221588553,0.4676498726484174,0.4676498726484174,0.15642518383877335,0.032289048144192756,0.012452422542421071
TVAE,0.7859487008442086,1.0,0.9999995101840434,0.9997402346156786,0.9997402346156786,0.9651259809718015,0.7285069115747342,0.5338373074420206
CTABGAN,0.6661463221588553,0.9999995101840434,1.0,0.9999919077551657,0.9999919077551657,0.9889701192635673,0.8370127106198055,0.6661463221588548
GaussianCopula,0.4676498726484174,0.9997402346156786,0.9999919077551657,1.0,1.0,0.9991346443675294,0.9444128391714841,0.8370127106198056
WGAN-GP,0.4676498726484174,0.9997402346156786,0.9999919077551657,1.0,1.0,0.9991346443675294,0.9444128391714841,0.8370127106198056
CopulaGAN,0.15642518383877335,0.9651259809718015,0.9889701192635673,0.9991346443675294,0.9991346443675294,1.0,0.9991346443675294,0.9889701192635673
TabDDPM,0.032289048144192756,0.7285069115747342,0.8370127106198055,0.9444128391714841,0.9444128391714841,0.9991346443675294,1.0,0.9999919077551657
CTGAN,0.012452422542421071,0.5338373074420206,0.6661463221588548,0.8370127106198056,0.8370127106198056,0.9889701192635673,0.9999919077551657,1.0
