,ForestDiffusion,TVAE,WGAN-GP,CTABGAN,CopulaGAN,GaussianCopula,CTGAN,TabDDPM
ForestDiffusion,1.0,0.600625110233503,0.3435927278177242,0.194431480348923,0.043330960700129206,0.023776690079980733,0.0006060957281330825,4.104257745418671e-05
TVAE,0.600625110233503,1.0,0.9999421542682614,0.9976628390369632,0.9164563040689869,0.8370127106198056,0.2383846658559018,0.05744817211848097
WGAN-GP,0.3435927278177242,0.9999421542682614,1.0,0.9999919077551657,0.9889701192635673,0.9651259809718015,0.46764987264841784,0.15642518383877357
CTABGAN,0.194431480348923,0.9976628390369632,0.9999919077551657,1.0,0.9991346443675294,0.9946029241564981,0.6661463221588553,0.28822774909592186
CopulaGAN,0.043330960700129206,0.9164563040689869,0.9889701192635673,0.9991346443675294,1.0,0.9999995101840434,0.9444128391714841,0.6661463221588554
GaussianCopula,0.023776690079980733,0.8370127106198056,0.9651259809718015,0.9946029241564981,0.9999995101840434,1.0,0.9795725028178317,0.785948700844209
CTGAN,0.0006060957281330825,0.2383846658559018,0.46764987264841784,0.6661463221588553,0.9444128391714841,0.9795725028178317,1.0,0.9991346443675294
TabDDPM,4.104257745418671e-05,0.05744817211848097,0.15642518383877357,0.28822774909592186,0.6661463221588554,0.785948700844209,0.9991346443675294,1.0
