DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Cancer,0.07886,0.242193,0.602281,-0.000263,0.10114,0.035175,0.451842,0.022193
Alzheimer's,0.101733,0.382533,0.3996,-0.011733,0.118,0.0704,0.410533,0.0624
Adult,0.2341,0.1359,0.1572,0.1004,0.1561,0.15035,0.35535,0.47025
Forest Cover,0.30745,0.49545,0.5376,-0.05545,0.16185,0.2464,0.218,0.2218
Bank Marketing,0.02519,0.043595,0.018595,-0.002295,0.02101,0.02794,0.01753,0.01101
Wine Quality,0.08305,0.2384,0.1996,-0.078667,0.0894,0.00115,0.101556,0.06805
CDC Diabetes,0.02104,0.003269,0.033001,0.0254,0.010459,0.021432,0.02165,0.006588
Mushroom,0.281576,0.290006,0.280621,0.084032,0.259187,0.229401,0.358774,0.168952
MAGIC Gamma,0.047166,0.106777,0.098304,0.01995,0.099582,0.082137,0.219879,0.035999
