,ForestDiffusion,WGAN-GP,TVAE,GaussianCopula,CTABGAN,CTGAN,TabDDPM,CopulaGAN
ForestDiffusion,1.0,0.9444128391714841,0.5338373074420204,0.28822774909592197,0.12416849024311871,0.008860192636935715,0.0020370819272206298,0.0013738995831361622
WGAN-GP,0.9444128391714841,1.0,0.9946029241564981,0.9444128391714841,0.785948700844209,0.2383846658559018,0.09727402758875536,0.07522808279555193
TVAE,0.5338373074420204,0.9946029241564981,1.0,0.9999421542682614,0.9946029241564981,0.7285069115747342,0.46764987264841784,0.40376084457362615
GaussianCopula,0.28822774909592197,0.9444128391714841,0.9999421542682614,1.0,0.9999421542682614,0.9164563040689869,0.7285069115747339,0.6661463221588548
CTABGAN,0.12416849024311871,0.785948700844209,0.9946029241564981,0.9999421542682614,1.0,0.9889701192635673,0.9164563040689869,0.8806785654552002
CTGAN,0.008860192636935715,0.2383846658559018,0.7285069115747342,0.9164563040689869,0.9889701192635673,1.0,0.9999421542682614,0.9997402346156786
TabDDPM,0.0020370819272206298,0.09727402758875536,0.46764987264841784,0.7285069115747339,0.9164563040689869,0.9999421542682614,1.0,0.9999999960951349
CopulaGAN,0.0013738995831361622,0.07522808279555193,0.40376084457362615,0.6661463221588548,0.8806785654552002,0.9997402346156786,0.9999999960951349,1.0
