Metric,Wilcoxon_stat,Wilcoxon_p,Spearman_rank_rho,Spearman_p,Interpretation
Average_F1,0.0,0.0078125,1.0,0.0,Rankings consistent (rho ≥ 0.7)
Average_Rank,7.5,1.0,0.9518072289156626,0.00026980782792598434,Rankings consistent (rho ≥ 0.7)
