Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference,CD_Group
ForestDiffusion,1.55,20,8,2.3478025044709363,1
WGAN_GP,2.4,20,8,2.3478025044709363,1
TVAE,3.65,20,8,2.3478025044709363,1
CTABGAN,4.0,20,8,2.3478025044709363,1
GaussianCopula,5.1,20,8,2.3478025044709363,1
CopulaGAN,5.2,20,8,2.3478025044709363,1
CTGAN,6.55,20,8,2.3478025044709363,1
TabDDPM,7.55,20,8,2.3478025044709363,1
