Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.55,20,8,2.3478025044709363
WGAN_GP,2.4,20,8,2.3478025044709363
TVAE,3.65,20,8,2.3478025044709363
CTABGAN,4.0,20,8,2.3478025044709363
GaussianCopula,5.1,20,8,2.3478025044709363
CopulaGAN,5.2,20,8,2.3478025044709363
CTGAN,6.55,20,8,2.3478025044709363
TabDDPM,7.55,20,8,2.3478025044709363
