Generator,Display,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap_Accuracy
ForestDiffusion,ForestDiffusion,0.573974,0.507570,0.750102,0.834134,0.084032
TVAE,TVAE,0.914558,0.393628,0.603420,0.832821,0.229401
CTABGAN,CTABGAN,0.921772,0.493407,0.551244,0.832821,0.281576
WGAN_GP,WGAN-GP,0.600454,0.539532,0.663869,0.832821,0.168952
GaussianCopula,GaussianCopula,0.909833,0.593068,0.573634,0.832821,0.259187
CopulaGAN,CopulaGAN,0.892834,0.601795,0.552200,0.832821,0.280621
CTGAN,CTGAN,0.878921,0.589119,0.542815,0.832821,0.290006
TabDDPM,TabDDPM,0.452807,0.523370,0.475360,0.834134,0.358774
