Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_Accuracy,TRTR_Accuracy,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.573974,0.507570,0.750102,0.834134,0.084032,0.202165,0.000000,0.222386,0.190476
TVAE,0.914558,0.393628,0.603420,0.832821,0.229401,0.202165,0.000000,0.222386,0.190476
CTABGAN,0.921772,0.493407,0.551244,0.832821,0.281576,0.202165,0.000000,0.222386,0.190476
WGAN-GP,0.600454,0.539532,0.663869,0.832821,0.168952,0.202165,0.000000,0.222386,0.190476
GaussianCopula,0.909833,0.593068,0.573634,0.832821,0.259187,0.202165,0.000000,0.222386,0.190476
CopulaGAN,0.892834,0.601795,0.552200,0.832821,0.280621,0.202165,0.000000,0.222386,0.190476
CTGAN,0.878921,0.589119,0.542815,0.832821,0.290006,0.202165,0.000000,0.222386,0.190476
TabDDPM,0.452807,0.523370,0.475360,0.834134,0.358774,0.202165,0.000000,0.222386,0.190476
