,Generator,Mean_CV,Std_CV,N_Metrics,StabilityRank,StabilityScore
3,ForestDiffusion,0.02704744825398145,0.013109562676197213,4,1.0,0.9736648503436105
5,TVAE,0.033238851606043174,0.011077723327861954,4,2.0,0.9678304280231261
7,WGAN_GP,0.034281807564435954,0.01642903123014145,4,3.0,0.9668544807481783
0,CTABGAN,0.046682765246472496,0.016957884851262504,4,4.0,0.9553993179246821
4,GaussianCopula,0.05967915971712378,0.022834480715701867,4,5.0,0.9436818595799743
1,CTGAN,0.06051554249140874,0.010398092444151266,4,6.0,0.9429376184820044
2,CopulaGAN,0.18250182642409668,0.021502033558236988,4,7.0,0.8456646557781775
6,TabDDPM,0.6733815947466384,0.35142021215539626,4,8.0,0.5975923263046329
