Dataset,Dataset_Short,Generator,Mapping_Method,Metric,Available,Mean
2. Alzhimers,Alzheimers,WGAN_GP,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,WGAN_GP,One-to-One Greedy,Mahalanobis Distance,True,1.7733
2. Alzhimers,Alzheimers,WGAN_GP,Hungarian,Cosine Similarity,True,0.9998872837596191
2. Alzhimers,Alzheimers,WGAN_GP,Hungarian,Mahalanobis Distance,True,1.749388884153588
2. Alzhimers,Alzheimers,CTABGAN,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CTABGAN,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,CTABGAN,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,CTABGAN,One-to-One Greedy,Mahalanobis Distance,True,2.9484
2. Alzhimers,Alzheimers,CTABGAN,Hungarian,Cosine Similarity,True,0.9998100910307864
2. Alzhimers,Alzheimers,CTABGAN,Hungarian,Mahalanobis Distance,True,2.808648543884104
2. Alzhimers,Alzheimers,TabDDPM,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,TabDDPM,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,TabDDPM,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,TabDDPM,One-to-One Greedy,Mahalanobis Distance,True,3.317
2. Alzhimers,Alzheimers,TabDDPM,Hungarian,Cosine Similarity,True,0.9915310108191179
2. Alzhimers,Alzheimers,TabDDPM,Hungarian,Mahalanobis Distance,True,3.151104083475662
2. Alzhimers,Alzheimers,ForestDiffusion,Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,ForestDiffusion,Greedy,Mahalanobis Distance,False,
2. Alzhimers,Alzheimers,ForestDiffusion,One-to-One Greedy,Cosine Similarity,False,
2. Alzhimers,Alzheimers,ForestDiffusion,One-to-One Greedy,Mahalanobis Distance,True,1.4367
2. Alzhimers,Alzheimers,ForestDiffusion,Hungarian,Cosine Similarity,True,0.9999908867907575
2. Alzhimers,Alzheimers,ForestDiffusion,Hungarian,Mahalanobis Distance,True,1.42151413008528
