Dataset,Generator,metric_category,metric_name,seed_42,seed_123,seed_2024,seed_68,seed_91,seed_2025,seed_55,seed_155,seed_255,seed_355,mean,sd,n_seeds
Adult,CTABGAN,Compute,evaluation_time_seconds,29.31416466785595,29.2826290470548,28.89556631306186,128.9310016238596,76.75862962100655,65.85331829707138,85.85652529699973,31.68280088900065,121.6135777829986,31.73865257200669,62.992686611091585,39.292433269408875,10
Adult,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Adult,CTABGAN,Compute,total_time_seconds,652.4220287129283,649.1772371968254,643.9836334860884,2930.53747934592,2895.351435344201,2937.133484207094,2983.595511375,12893.394873377,13142.8325182,2396.911479401999,4212.533968064706,4749.572424287495,10
Adult,CTABGAN,Compute,training_time_seconds,623.0922574209981,619.8811222841032,615.0751315141097,2801.502888330026,2818.267591841985,2871.125497506,2897.610046562,12861.56950070601,13020.940302554,2364.947967364002,4149.401230608323,4737.133448594205,10
Adult,CTABGAN,Fidelity,KS_Complement,0.57255,0.5660499999999999,0.5557416666666667,0.9495416666666666,0.9538375,0.9521833333333332,0.949925,0.9641416666666666,0.948075,0.943075,0.8355120833333333,0.1869409487295956,10
Adult,CTABGAN,Fidelity,MMD,0.0107644948536015,0.0203157439446324,0.0115948897150075,0.0110862408768147,0.0129958352943525,0.0155174663331676,0.0229552623543725,0.0090091833895064,0.0181254390461257,0.0196852330578776,0.01520497888654584,0.004805888390719937,10
Adult,CTABGAN,Fidelity,Quality_Score,0.8516233333333334,0.7746139583333334,0.8331525,0.91374375,0.9263168055555556,0.9305604166666668,0.9371872222222222,0.9259118055555556,0.9325072222222224,0.9289997222222224,0.8954616736111112,0.055868898175021775,10
Adult,CTABGAN,Fidelity,Wasserstein_Distance,1106.45330475553,1129.255270652159,1411.248076605992,3791.584333333333,2417.559575,3413.1459,1549.377841666666,2430.814391666665,3621.822799999999,2039.798799999999,2291.1060293680343,1025.1010773881492,10
Adult,CTABGAN,Privacy,MIA_AUC,0.5339506172839505,0.6732098765432101,0.4937037037037037,0.8354320987654321,0.8135802469135802,0.845679012345679,0.7629629629629631,0.8300000000000001,0.8350617283950618,0.8630864197530865,0.7486666666666667,0.13553667467160352,10
Adult,CTABGAN,Privacy,Mahalanobis_Distance,3.880844107606742,3.914505839767935,3.73828927430239,4.977884382363154,4.849608015843194,4.883410940738682,4.769329969352488,4.924883640566653,4.91770454252354,4.96787184593996,4.582433255900474,0.5145070272943685,10
Adult,CTABGAN,Privacy,Mean_Distance,3.880844107606742,3.914505839767935,3.73828927430239,4.977884382363154,4.849608015843194,4.883410940738682,4.769329969352488,4.924883640566653,4.91770454252354,4.96787184593996,4.582433255900474,0.5145070272943685,10
Adult,CTABGAN,Privacy,Median_Distance,3.633841066628912,3.691575417560814,3.550310397462487,4.892428172166426,4.775032993923181,4.797530055638067,4.635286270612436,4.790253234232305,4.838155718135964,4.87093108907275,4.447534441543334,0.5725984850649591,10
