Dataset,Generator,metric_category,metric_name,seed_42,seed_123,seed_2024,seed_68,seed_91,seed_2025,seed_55,seed_155,seed_255,seed_355,mean,sd,n_seeds
Air Quality,CTABGAN,Compute,evaluation_time_seconds,120.5875972560607,116.8075220279861,119.1331756091677,178.8714429431129,133.357834574068,56.99222121294588,226.9302764949971,224.9045590379974,145.3618718670041,186.7872141559928,150.97337151793326,53.30713619388764,10
Air Quality,CTABGAN,Compute,generation_time_seconds,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10
Air Quality,CTABGAN,Compute,total_time_seconds,1535.299389088061,1592.774699006928,1572.874293376924,1561.257398195099,1535.635936666047,1053.729969408829,3372.468759639007,1462.194227464992,3859.736168104006,3184.609196229001,2073.0580037178893,991.5879456927062,10
Air Quality,CTABGAN,Compute,training_time_seconds,1414.649529209128,1475.829319410026,1453.686154830037,1382.262249812949,1402.206240940839,996.7010930927936,3145.421221669996,1237.15651502501,3714.220999461999,2997.700163270005,1921.9833486722782,967.7251748306684,10
Air Quality,CTABGAN,Fidelity,KS_Complement,0.8834087148656289,0.889117568470274,0.8794811674631314,0.8971198294023945,0.8746078824315299,0.8608043266019216,0.8907883459226145,0.8637481116078312,0.8665109706592672,0.8478871589332512,0.8753474076357846,0.015502295700268086,10
Air Quality,CTABGAN,Fidelity,MMD,0.0448379743688005,0.0278446923385421,0.0359217469677217,0.0245756209589416,0.0315497226584065,0.0345232745869297,0.01295590360873,0.0316489422871221,0.0232564295204413,0.0447079411957576,0.031182224849139312,0.009736565767335432,10
Air Quality,CTABGAN,Fidelity,Quality_Score,0.8179558221472663,0.8257863055805921,0.8205958587467246,0.8422101214441551,0.820842799956424,0.8094914797312287,0.8219403146759943,0.8114487081188198,0.8159035126939922,0.8011613795397471,0.8187336302634944,0.010928917642143897,10
Air Quality,CTABGAN,Fidelity,Wasserstein_Distance,46.09763667945999,54.22972717769471,51.4014882798219,45.71644600707236,38.73289538554762,54.97532354881257,51.91893784484041,62.21976756695304,56.5146682389523,68.69444582130616,53.0501336550461,8.544189851953632,10
Air Quality,CTABGAN,Privacy,MIA_AUC,0.7406172839506172,0.6077777777777778,0.7176543209876544,0.6607407407407407,0.7730864197530863,0.788148148148148,0.671604938271605,0.7264197530864198,0.7567901234567901,0.7651851851851852,0.7208024691358024,0.057513736949082225,10
Air Quality,CTABGAN,Privacy,Mahalanobis_Distance,6.140941426948259,6.315532204569624,6.102139378118888,6.451075330544359,7.354337390509305,6.833182780878143,6.411069854999246,6.321335505692049,6.008073063301134,6.55869656299525,6.449638349855626,0.39783375620347855,10
Air Quality,CTABGAN,Privacy,Mean_Distance,6.140941426948259,6.315532204569624,6.102139378118888,6.451075330544359,7.354337390509305,6.833182780878143,6.411069854999246,6.321335505692049,6.008073063301134,6.55869656299525,6.449638349855626,0.39783375620347855,10
Air Quality,CTABGAN,Privacy,Median_Distance,5.469211023203197,5.693334281085649,5.480649689873967,5.819266973123804,5.467075229011867,5.888158844540936,5.707611050355236,5.561495243437993,5.220243991290385,5.964140672836254,5.627118699875927,0.22885357577580423,10
Air Quality,CTABGAN,Privacy,NNDR,0.904665592023888,0.9066259203485918,0.8998856078358295,0.908605651417192,0.9077742380275076,0.899525325258679,0.9016886090278122,0.9074437635805512,0.9007484326213784,0.8991164915333302,0.9036079631674759,0.0037981392726764047,10
