Generator,AverageRank,N_Datasets,N_Generators,CriticalDifference
ForestDiffusion,1.2,20,8,2.3478025044709363
WGAN_GP,1.9,20,8,2.3478025044709363
TVAE,3.05,20,8,2.3478025044709363
GaussianCopula,4.45,20,8,2.3478025044709363
CTABGAN,5.05,20,8,2.3478025044709363
CTGAN,6.05,20,8,2.3478025044709363
CopulaGAN,6.7,20,8,2.3478025044709363
TabDDPM,7.6,20,8,2.3478025044709363
