DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Metro Interstate,28.046103,79.100474,57.651259,15.644918,98.6881,213.84993,292.091472,1003.830612
Online Shopping,8.075695,9.206509,10.239107,3.013572,5.47356,10.217182,15.77524,44.290981
Air Quality,0.416004,0.469447,0.424818,0.096937,0.024458,0.115084,200.49861,0.07022
Concrete,6.76,8.753399,10.385845,0.833224,2.433312,3.207297,1.749116,3.251137
Energy Efficiency,10.387984,6.684907,7.935073,-0.009157,3.394269,1.579931,2.31617,1.355369
Real Estate,2.102906,10.423761,6.834445,-0.389285,1.106586,1.307881,1.679113,1.696712
