Generator,Average Rank,Median Rank,Std Dev Rank
ForestDiffusion,1.1666666666666667,1.0,0.408248290463863
GaussianCopula,3.1666666666666665,2.5,1.4719601443879744
TVAE,4.333333333333333,4.0,1.505545305418162
CTABGAN,4.833333333333333,5.5,2.48327740429189
WGAN-GP,5.0,4.5,2.5298221281347035
TabDDPM,5.333333333333333,5.5,2.1602468994692865
CTGAN,6.0,6.5,1.6733200530681511
CopulaGAN,6.166666666666667,6.5,1.7224014243685086
