,TVAE,ForestDiffusion,GaussianCopula,CTABGAN,TabDDPM,WGAN-GP,CTGAN,CopulaGAN
TVAE,1.0,0.9999999839135403,0.9990115713037246,0.9818365844076133,0.9647295117904234,0.6420956568367515,0.5608555753547232,0.4009386127813581
ForestDiffusion,0.9999999839135403,1.0,0.999773316956035,0.9917616474044787,0.9818365844076133,0.7196435315769298,0.6420956568367517,0.4793966024535148
GaussianCopula,0.9990115713037246,0.999773316956035,1.0,0.999967544812433,0.999773316956035,0.9381996495324063,0.9005538197224443,0.79019432889009
CTABGAN,0.9818365844076133,0.9917616474044787,0.999967544812433,1.0,0.9999999839135403,0.9917616474044786,0.9818365844076133,0.9381996495324063
TabDDPM,0.9647295117904234,0.9818365844076133,0.999773316956035,0.9999999839135403,1.0,0.9968218216066275,0.9917616474044787,0.9647295117904234
WGAN-GP,0.6420956568367515,0.7196435315769298,0.9381996495324063,0.9917616474044786,0.9968218216066275,1.0,0.9999999839135403,0.999967544812433
CTGAN,0.5608555753547232,0.6420956568367517,0.9005538197224443,0.9818365844076133,0.9917616474044787,0.9999999839135403,1.0,0.9999980024121542
CopulaGAN,0.4009386127813581,0.4793966024535148,0.79019432889009,0.9381996495324063,0.9647295117904234,0.999967544812433,0.9999980024121542,1.0
