,ForestDiffusion,GaussianCopula,TVAE,CTABGAN,WGAN-GP,TabDDPM,CTGAN,CopulaGAN
ForestDiffusion,1.0,0.9381996495324063,0.47939660245351423,0.15838503922801195,0.15838503922801195,0.08804321135466286,0.021690381197534858,0.014615666537838856
GaussianCopula,0.9381996495324063,1.0,0.9917616474044786,0.8510607755299454,0.8510607755299454,0.7196435315769298,0.4009386127813581,0.3281256421975719
TVAE,0.47939660245351423,0.9917616474044786,1.0,0.9990115713037246,0.9990115713037246,0.9917616474044787,0.9005538197224444,0.8510607755299455
CTABGAN,0.15838503922801195,0.8510607755299454,0.9990115713037246,1.0,1.0,0.9999980024121542,0.9968218216066275,0.9917616474044787
WGAN-GP,0.15838503922801195,0.8510607755299454,0.9990115713037246,1.0,1.0,0.9999980024121542,0.9968218216066275,0.9917616474044787
TabDDPM,0.08804321135466286,0.7196435315769298,0.9917616474044787,0.9999980024121542,0.9999980024121542,1.0,0.999773316956035,0.9990115713037246
CTGAN,0.021690381197534858,0.4009386127813581,0.9005538197224444,0.9968218216066275,0.9968218216066275,0.999773316956035,1.0,0.9999999839135403
CopulaGAN,0.014615666537838856,0.3281256421975719,0.8510607755299455,0.9917616474044787,0.9917616474044787,0.9990115713037246,0.9999999839135403,1.0
