DatasetShort,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Metro Interstate,-58.269762,47.17176,11.04042,-34.597499,114.931281,425.014597,413.356325,1345.203516
Online Shopping,9.074635,10.2073,11.799224,3.257335,6.128955,11.50665,18.052099,53.421874
Air Quality,0.493122,0.647412,0.597442,0.201322,0.009094,0.276521,233.448978,0.039619
Concrete,7.566612,10.297431,12.528827,1.032088,2.546678,3.706137,2.059714,3.967915
Energy Efficiency,11.555038,7.797706,8.673721,-0.01187,3.631019,2.287644,3.082895,1.761013
Real Estate,1.425348,10.776679,6.447162,-0.743373,0.016527,0.251983,1.792642,0.420089
