,ForestDiffusion,GaussianCopula,TVAE,CTABGAN,WGAN-GP,TabDDPM,CTGAN,CopulaGAN
ForestDiffusion,1.0,0.9647295117904234,0.4793966024535148,0.32812564219757157,0.26283958799486773,0.08804321135466286,0.03163483621607743,0.021690381197534858
GaussianCopula,0.9647295117904234,1.0,0.9818365844076133,0.9381996495324063,0.9005538197224444,0.6420956568367515,0.4009386127813581,0.3281256421975719
TVAE,0.4793966024535148,0.9818365844076133,1.0,0.9999980024121542,0.999967544812433,0.9917616474044786,0.9381996495324063,0.9005538197224443
CTABGAN,0.32812564219757157,0.9381996495324063,0.9999980024121542,1.0,0.9999999839135403,0.9990115713037246,0.9818365844076133,0.9647295117904235
WGAN-GP,0.26283958799486773,0.9005538197224444,0.999967544812433,0.9999999839135403,1.0,0.999773316956035,0.9917616474044786,0.9818365844076133
TabDDPM,0.08804321135466286,0.6420956568367515,0.9917616474044786,0.9990115713037246,0.999773316956035,1.0,0.999967544812433,0.999773316956035
CTGAN,0.03163483621607743,0.4009386127813581,0.9381996495324063,0.9818365844076133,0.9917616474044786,0.999967544812433,1.0,0.9999999839135403
CopulaGAN,0.021690381197534858,0.3281256421975719,0.9005538197224443,0.9647295117904235,0.9818365844076133,0.999773316956035,0.9999999839135403,1.0
