Generator,Average Rank,Median Rank,Std Dev Rank
ForestDiffusion,1.3333333333333333,1.0,0.816496580927726
GaussianCopula,3.0,2.5,1.6733200530681511
TVAE,4.166666666666667,4.0,1.169045194450012
CTABGAN,5.0,5.5,2.1908902300206643
WGAN-GP,5.0,5.0,2.6832815729997477
TabDDPM,5.333333333333333,5.5,2.3380903889000244
CTGAN,6.0,6.5,1.6733200530681511
CopulaGAN,6.166666666666667,6.5,1.7224014243685086
