Generator,Fidelity_SDMetrics,MIA,Mean_TSTR_R2,TRTR_R2,Utility_Gap,Pearson_Fidelity_vs_Gap,Spearman_Fidelity_vs_Gap,Pearson_MIA_vs_Gap,Spearman_MIA_vs_Gap
ForestDiffusion,0.708662,0.693190,0.917427,0.912163,-0.005265,-0.188554,-0.023810,0.373840,0.654654
TVAE,0.886220,0.999522,0.765985,0.929135,0.163150,-0.188554,-0.023810,0.373840,0.654654
CTABGAN,0.704767,1.000000,-1.177548,0.929135,2.106684,-0.188554,-0.023810,0.373840,0.654654
WGAN-GP,0.626702,1.000000,0.819414,0.929135,0.109722,-0.188554,-0.023810,0.373840,0.654654
GaussianCopula,0.789355,1.000000,0.609923,0.929135,0.319212,-0.188554,-0.023810,0.373840,0.654654
CopulaGAN,0.686985,1.000000,-0.395873,0.929135,1.325008,-0.188554,-0.023810,0.373840,0.654654
CTGAN,0.677298,1.000000,-0.131470,0.929135,1.060605,-0.188554,-0.023810,0.373840,0.654654
TabDDPM,0.654671,0.986806,0.643088,0.912163,0.269074,-0.188554,-0.023810,0.373840,0.654654
