Generator,Utility,UtilityStd,Fidelity,FidelityStd,Privacy,PrivacyStd,N_Points,N_Datasets,N_Seeds,UtilityMetric,FidelityMetric,PrivacyMetric,PrivacyLabel,HigherIsPrivate
CTGAN,0.6276600428436034,0.10427263906566275,0.822001,0.05839868780068696,3.2118510000000002,3.1317506987573847,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
CopulaGAN,0.44662955922133485,0.11747582760242697,0.8073505000000001,0.08770422046047124,4.461466,4.404647156925465,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
TVAE,0.7660683663168162,0.16984642268032646,0.9054895000000001,0.009304084685884173,1.434154,1.387105290387143,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
GaussianCopula,0.714911351946976,0.14648551347218491,0.9267905000000001,0.017398027905484025,1.4277885,1.328793297757207,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
WGAN_GP,0.7982969624123475,0.14022586885489755,0.774733,0.17880648122304846,10.7324375,8.617366082493886,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
CTABGAN,0.7145440296263501,0.16526540325002098,0.8866675,0.03601645706077331,7.5219425,2.8989926329007623,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
TabDDPM,0.476624727324683,0.06401819281000207,0.42709450000000004,0.02638046837798953,22.158574,4.507686162825377,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
ForestDiffusion,0.8552360902936895,0.11312260801952516,0.7609294999999999,0.19181229580325596,7.545941999999999,5.819487720104526,20,2,10,Accuracy,Quality_Score,NNDR,NNDR,True
