Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Adult,0.080995,0.032618,0.042303,0.020038,0.088557,0.193035,0.171268,0.024375
Alzheimer's,0.124868,0.431974,0.446667,-0.003684,0.131579,0.041491,0.437456,0.132237
Bank Marketing,0.03154,0.028428,0.03706,0.038287,0.026467,0.102102,0.041645,0.006567
CDC Diabetes,0.102343,0.018297,0.01526,0.03366,0.019733,-0.00719,0.01855,-0.012177
Cancer,0.13307,0.312895,0.38114,-0.00962,0.158772,0.001813,0.341901,0.064503
Forest Cover,0.309837,0.31783,0.32939,0.06979,0.192433,0.061723,0.348693,0.302763
MAGIC Gamma,0.041189,0.093452,0.097188,0.052787,0.096285,0.061367,0.223901,0.039274
Mushroom,0.25151,0.327337,0.320493,0.276177,0.317233,0.23684,0.375303,0.252687
Wine Quality,0.132949,0.265969,0.247085,0.139891,0.211599,0.095616,0.203782,0.164694
