Generator,AverageRank,MedianRank,StdDevRank
ForestDiffusion,2.111111,2.0,1.269296
WGAN-GP,2.888889,3.0,1.364225
TVAE,3.111111,2.0,2.666667
CTABGAN,3.777778,3.0,1.986063
CopulaGAN,5.444444,6.0,1.810463
GaussianCopula,5.555556,6.0,1.509231
CTGAN,5.888889,6.0,1.269296
TabDDPM,7.222222,7.0,0.833333
