,ForestDiffusion,TVAE,WGAN-GP,CTABGAN,CopulaGAN,CTGAN,GaussianCopula,TabDDPM
ForestDiffusion,1.0,0.98897,0.666146,0.288228,0.012452,0.00886,0.002989,2e-06
TVAE,0.98897,1.0,0.98897,0.837013,0.156425,0.124168,0.057448,0.000165
WGAN-GP,0.666146,0.98897,1.0,0.999135,0.666146,0.600625,0.403761,0.006235
CTABGAN,0.288228,0.837013,0.999135,1.0,0.944413,0.916456,0.785949,0.043331
CopulaGAN,0.012452,0.156425,0.666146,0.944413,1.0,1.0,0.999942,0.533837
CTGAN,0.00886,0.124168,0.600625,0.916456,1.0,1.0,0.999992,0.600625
GaussianCopula,0.002989,0.057448,0.403761,0.785949,0.999942,0.999992,1.0,0.785949
TabDDPM,2e-06,0.000165,0.006235,0.043331,0.533837,0.600625,0.785949,1.0
