,ForestDiffusion,WGAN-GP,TVAE,CTABGAN,CopulaGAN,GaussianCopula,CTGAN,TabDDPM
ForestDiffusion,1.0,1.0,1.0,0.625,0.171875,0.109375,0.109375,0.109375
WGAN-GP,1.0,1.0,1.0,1.0,0.109375,1.0,0.109375,0.109375
TVAE,1.0,1.0,1.0,1.0,1.0,0.820312,1.0,0.171875
CTABGAN,0.625,1.0,1.0,1.0,1.0,1.0,1.0,0.371094
CopulaGAN,0.171875,0.109375,1.0,1.0,1.0,1.0,1.0,0.371094
GaussianCopula,0.109375,1.0,0.820312,1.0,1.0,1.0,1.0,0.171875
CTGAN,0.109375,0.109375,1.0,1.0,1.0,1.0,1.0,0.371094
TabDDPM,0.109375,0.109375,0.171875,0.371094,0.371094,0.171875,0.371094,1.0
