,ForestDiffusion,WGAN-GP,TVAE,CTABGAN,CopulaGAN,GaussianCopula,CTGAN,TabDDPM
ForestDiffusion,1.0,0.997663,0.98897,0.837013,0.075228,0.057448,0.023777,0.000257
WGAN-GP,0.997663,1.0,1.0,0.994603,0.343593,0.288228,0.156425,0.00434
TVAE,0.98897,1.0,1.0,0.999135,0.46765,0.403761,0.238385,0.00886
CTABGAN,0.837013,0.994603,0.999135,1.0,0.837013,0.785949,0.600625,0.057448
CopulaGAN,0.075228,0.343593,0.46765,0.837013,1.0,1.0,0.999942,0.785949
GaussianCopula,0.057448,0.288228,0.403761,0.785949,1.0,1.0,0.999992,0.837013
CTGAN,0.023777,0.156425,0.238385,0.600625,0.999942,0.999992,1.0,0.944413
TabDDPM,0.000257,0.00434,0.00886,0.057448,0.785949,0.837013,0.944413,1.0
