Dataset,CTABGAN,CTGAN,CopulaGAN,ForestDiffusion,GaussianCopula,TVAE,TabDDPM,WGAN-GP
Adult,0.079868,0.04575,0.041267,0.035737,0.145668,0.23136,0.229077,0.03036
Alzheimer's,0.1304,0.449155,0.470187,-0.00365,0.132683,0.042735,0.44906,0.140136
Bank Marketing,0.022277,0.033176,0.03128,0.016935,0.049019,0.061418,0.065129,0.027882
CDC Diabetes,0.096832,0.002933,0.001332,0.001905,0.019792,-0.012644,0.025682,-0.004434
Cancer,0.136516,0.323987,0.391007,-0.009791,0.164136,0.001376,0.453462,0.066503
Forest Cover,0.326115,0.399854,0.393829,0.063531,0.22255,0.074437,0.38638,0.324552
MAGIC Gamma,0.043307,0.087443,0.092956,0.048262,0.111843,0.059773,0.286617,0.041138
Mushroom,0.262598,0.350945,0.339162,0.305903,0.321178,0.258309,0.422913,0.271857
Wine Quality,0.140131,0.239985,0.212749,0.128589,0.268154,0.106285,0.262515,0.166066
