,ForestDiffusion,TVAE,WGAN-GP,CTABGAN,CopulaGAN,CTGAN,GaussianCopula,TabDDPM
ForestDiffusion,1.0,0.773438,0.210938,0.148438,0.109375,0.109375,0.109375,0.109375
TVAE,0.773438,1.0,0.59375,0.507812,0.507812,0.382812,0.109375,0.109375
WGAN-GP,0.210938,0.59375,1.0,0.773438,0.546875,0.3125,0.546875,0.109375
CTABGAN,0.148438,0.507812,0.773438,1.0,0.59375,0.507812,0.773438,0.109375
CopulaGAN,0.109375,0.507812,0.546875,0.59375,1.0,1.0,1.0,0.3125
CTGAN,0.109375,0.382812,0.3125,0.507812,1.0,1.0,1.0,0.210938
GaussianCopula,0.109375,0.109375,0.546875,0.773438,1.0,1.0,1.0,0.109375
TabDDPM,0.109375,0.109375,0.109375,0.109375,0.3125,0.210938,0.109375,1.0
