,WGAN-GP,ForestDiffusion,TVAE,CTABGAN,GaussianCopula,CTGAN,CopulaGAN,TabDDPM
WGAN-GP,1.0,0.999942,0.99974,0.965126,0.600625,0.288228,0.057448,0.006235
ForestDiffusion,0.999942,1.0,1.0,0.997663,0.837013,0.533837,0.156425,0.023777
TVAE,0.99974,1.0,1.0,0.999135,0.880679,0.600625,0.194431,0.032289
CTABGAN,0.965126,0.997663,0.999135,1.0,0.994603,0.916456,0.533837,0.156425
GaussianCopula,0.600625,0.837013,0.880679,0.994603,1.0,0.99974,0.944413,0.600625
CTGAN,0.288228,0.533837,0.600625,0.916456,0.99974,1.0,0.997663,0.880679
CopulaGAN,0.057448,0.156425,0.194431,0.533837,0.944413,0.997663,1.0,0.997663
TabDDPM,0.006235,0.023777,0.032289,0.156425,0.600625,0.880679,0.997663,1.0
