Generator,AverageRank,MedianRank,StdDevRank
WGAN-GP,2.666667,3.0,1.5
ForestDiffusion,3.111111,3.0,2.204793
TVAE,3.222222,2.0,2.862594
CTABGAN,3.888889,4.0,1.964971
GaussianCopula,4.777778,5.0,1.481366
CTGAN,5.333333,6.0,1.732051
CopulaGAN,6.111111,7.0,1.763834
TabDDPM,6.888889,7.0,1.166667
