Dataset,Generator,Classifier,Leakage,Mean,Std,N,TRTR_Mean,TRTR_Std,Utility_Loss,Utility_Drop_Pct
1. Cancer,CTABGAN,AdaBoost,0,0.9017543859649122,0.01953601530817553,2,0.9666666666666666,0.01022974016639526,0.06491228070175437,6.715063520871142
1. Cancer,CTABGAN,Decision Tree,0,0.7578947368421052,0.04336563892739744,2,0.9350877192982457,0.02045948033279054,0.17719298245614057,18.949343339587262
1. Cancer,CTABGAN,Extra Trees,0,0.9061403508771928,0.01180142460269623,2,0.9701754385964912,0.01189882453179872,0.06403508771929844,6.600361663652824
1. Cancer,CTABGAN,Gradient Boosting,0,0.8991228070175439,0.02609556979060266,2,0.9631578947368421,0.0203084857943688,0.06403508771929822,6.648451730418941
1. Cancer,CTABGAN,KNN,0,0.8938596491228072,0.01939767051534734,2,0.962280701754386,0.01883413206454726,0.06842105263157872,7.110300820419301
1. Cancer,CTABGAN,Logistic Regression,0,0.9122807017543859,0.01881369349958528,2,0.9789473684210526,0.009768007654087744,0.06666666666666665,6.810035842293906
1. Cancer,CTABGAN,MLP,0,0.8640350877192982,0.02488817712124755,2,0.974561403508772,0.01327433855300136,0.1105263157894738,11.341134113411353
1. Cancer,CTABGAN,Naive Bayes,0,0.8903508771929826,0.01931817153118003,2,0.9324561403508772,0.02322491630679601,0.042105263157894646,4.5155221072436404
1. Cancer,CTABGAN,Random Forest,0,0.9052631578947368,0.02280701754385965,2,0.962280701754386,0.0136176971019825,0.05701754385964919,5.925250683682778
1. Cancer,CTABGAN,SVM-RBF,0,0.8964912280701756,0.02246710258748367,2,0.9701754385964912,0.01889531511275264,0.07368421052631569,7.5949367088607485
1. Cancer,CTGAN,AdaBoost,0,0.7254385964912281,0.02513429610858667,2,0.9666666666666666,0.01022974016639526,0.24122807017543846,24.95462794918329
1. Cancer,CTGAN,Decision Tree,0,0.6421052631578947,0.04671412966910297,2,0.9350877192982457,0.02045948033279054,0.292982456140351,31.332082551594755
1. Cancer,CTGAN,Extra Trees,0,0.7035087719298245,0.02712214883112335,2,0.9701754385964912,0.01189882453179872,0.2666666666666667,27.486437613019895
1. Cancer,CTGAN,Gradient Boosting,0,0.6956140350877192,0.05100558512318116,2,0.9631578947368421,0.0203084857943688,0.26754385964912286,27.777777777777786
1. Cancer,CTGAN,KNN,0,0.6140350877192982,0.05407380704358751,2,0.962280701754386,0.01883413206454726,0.3482456140350878,36.18960802187786
1. Cancer,CTGAN,Logistic Regression,0,0.7912280701754387,0.0128920512778062,2,0.9789473684210526,0.009768007654087744,0.18771929824561384,19.17562724014335
1. Cancer,CTGAN,MLP,0,0.7201754385964911,0.06685683863961835,2,0.974561403508772,0.01327433855300136,0.2543859649122808,26.102610261026115
1. Cancer,CTGAN,Naive Bayes,0,0.8517543859649122,0.02947420634458147,2,0.9324561403508772,0.02322491630679601,0.08070175438596505,8.654750705550345
1. Cancer,CTGAN,Random Forest,0,0.7157894736842105,0.02723539420396496,2,0.962280701754386,0.0136176971019825,0.24649122807017543,25.615314494074745
1. Cancer,CTGAN,SVM-RBF,0,0.7342105263157894,0.02387834664704595,2,0.9701754385964912,0.01889531511275264,0.23596491228070182,24.321880650994583
1. Cancer,CopulaGAN,AdaBoost,0,0.4815789473684211,0.1002804623522366,2,0.9666666666666666,0.01022974016639526,0.48508771929824546,50.18148820326678
1. Cancer,CopulaGAN,Decision Tree,0,0.4885964912280701,0.1217403551246111,2,0.9350877192982457,0.02045948033279054,0.44649122807017566,47.74859287054411
1. Cancer,CopulaGAN,Extra Trees,0,0.3473684210526316,0.06254576656131891,2,0.9701754385964912,0.01189882453179872,0.6228070175438596,64.19529837251355
