Dataset,Generator,Classifier,Leakage,Mean,Std,N
1. Cancer,WGAN_GP,Gradient Boosting,0,0.9161306020654305,0.02802202664577805,2
1. Cancer,WGAN_GP,KNN,0,0.911630570476661,0.0255932597295227,2
1. Cancer,WGAN_GP,Logistic Regression,0,0.929480250932156,0.02470715234911491,2
1. Cancer,WGAN_GP,MLP,0,0.918353551614589,0.03025029611421899,2
1. Cancer,WGAN_GP,Naive Bayes,0,0.9017318991006558,0.02939656495252678,2
1. Cancer,WGAN_GP,Random Forest,0,0.9200127464018204,0.03208062516188989,2
1. Cancer,WGAN_GP,SVM-RBF,0,0.92254504378202,0.03793224534272995,2
2. Alzhimers,CTABGAN,AdaBoost,0,0.9259777810047293,0.03178411735370369,2
2. Alzhimers,CTABGAN,Decision Tree,0,0.5411158910243564,0.0765686736680532,2
2. Alzhimers,CTABGAN,Extra Trees,0,0.945717159512259,0.0388451563385819,2
2. Alzhimers,CTABGAN,Gradient Boosting,0,0.6970768575441686,0.06235732062047909,2
2. Alzhimers,CTABGAN,KNN,0,0.8597389241109257,0.04505449713525705,2
2. Alzhimers,CTABGAN,Logistic Regression,0,0.930311757199863,0.01913226533325586,2
2. Alzhimers,CTABGAN,MLP,0,0.8062285787576309,0.04685589768383364,2
2. Alzhimers,CTABGAN,Naive Bayes,0,0.892632116502579,0.0416013735623896,2
2. Alzhimers,CTABGAN,Random Forest,0,0.8721696835017235,0.03620193285993438,2
2. Alzhimers,CTABGAN,SVM-RBF,0,0.9079525088006914,0.03022145616062401,2
2. Alzhimers,CTGAN,AdaBoost,0,0.5604668433271227,0.05558632789881976,2
2. Alzhimers,CTGAN,Decision Tree,0,0.5184509895213892,0.1000297902705315,2
2. Alzhimers,CTGAN,Extra Trees,0,0.5861060314388921,0.06772907986891641,2
2. Alzhimers,CTGAN,Gradient Boosting,0,0.5666224744417283,0.06310098201109862,2
2. Alzhimers,CTGAN,KNN,0,0.586983576042668,0.04181835076864649,2
2. Alzhimers,CTGAN,Logistic Regression,0,0.6528421480452289,0.03133554549679136,2
2. Alzhimers,CTGAN,MLP,0,0.559728436502105,0.07508178469862639,2
