Dataset,Generator,Seed,Experiment,Metric,Value,Mean,Std,Classifier,RegressionModel,Regressor,Leakage,LeakageLevel,TrainingPercentage,EvaluationType,TaskType,Category,MetricValue,SourceFile
1. Cancer,CTGAN,,utility,Recall,0.95,0.95,0.0457366016959489,MLP,,,0,0.0,100,TSTR,classification,Utility,0.95,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Drop,0.2543859649122808,0.2543859649122808,,MLP,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Drop,0.246737124023592,0.246737124023592,,MLP,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision_Drop,0.4040861882828425,0.4040861882828425,,MLP,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Recall_Drop,-0.004761904761904745,-0.004761904761904745,,MLP,,,0,0.0,100,Gap,classification,,,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.9701754385964912,0.9701754385964912,0.01889531511275264,SVM-RBF,,,0,0.0,100,TRTR,classification,Utility,0.9701754385964912,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy,0.7342105263157894,0.7342105263157894,0.02387834664704595,SVM-RBF,,,0,0.0,100,TSTR,classification,Utility,0.7342105263157894,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Accuracy_Gap,0.23596491228070182,0.23596491228070182,0.02387834664704595,SVM-RBF,,,0,0.0,100,Gap,classification,Utility,0.7342105263157894,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.9583987428081452,0.9583987428081452,0.02694607072359247,SVM-RBF,,,0,0.0,100,TRTR,classification,Utility,0.9583987428081452,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1,0.7058459078385154,0.7058459078385154,0.020234272079634,SVM-RBF,,,0,0.0,100,TSTR,classification,Utility,0.7058459078385154,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,F1_Gap,0.25255283496962977,0.25255283496962977,0.020234272079634,SVM-RBF,,,0,0.0,100,Gap,classification,Utility,0.7058459078385154,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.975500670827118,0.975500670827118,0.01929000486040976,SVM-RBF,,,0,0.0,100,TRTR,classification,Utility,0.975500670827118,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
1. Cancer,CTGAN,,utility,Precision,0.5973837425749331,0.5973837425749331,0.02711103869198211,SVM-RBF,,,0,0.0,100,TSTR,classification,Utility,0.5973837425749331,Generators/Experiment with utility data leak/utility results/1. Cancer/TRTR_TSTR_results_cancer.xlsx
